Age,Job,Credit amount,Duration,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Sex_male,Housing_own,Housing_rent,Savings_moderate,Savings_no_inf,Savings_quite rich,Savings_rich,Risk_bad,Check_moderate,Check_no_inf,Check_rich,Age_cat_Young,Age_cat_Adult,Age_cat_Senior
42,2,6.013715156042802,12,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
34,2,7.789454566086673,7,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
63,2,8.829958044235482,60,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
36,2,7.556427969440253,18,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
27,2,8.299037181613066,24,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
30,2,8.676928249537397,18,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0
57,1,7.142036574706803,12,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
33,3,7.295735072749282,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
25,1,8.465057436995709,45,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
31,2,8.71768205216564,48,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
37,2,7.649692623711514,18,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0
37,2,7.110696122978827,10,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
24,2,6.126869184114185,9,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
30,3,7.75491027202143,30,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
26,2,7.05444965813294,12,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
44,1,8.73294952429643,18,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
24,2,8.73020559553099,30,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
58,1,8.723068501163928,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
35,3,7.239214973779806,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
39,2,7.740229524763182,36,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
23,0,7.20934025660291,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
39,1,8.885717651712119,11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
28,2,7.636752112435779,12,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
29,1,7.75491027202143,24,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
30,3,8.693664334532016,27,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
25,2,7.140453043101158,12,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
31,2,8.125039097367745,18,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
57,2,7.707512194600341,36,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
26,1,6.663132695990803,6,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
52,3,8.774622220696997,12,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0
31,2,9.165970424240243,36,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
23,3,7.581209826196346,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
23,1,8.736971085254146,36,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
27,2,7.237778191923443,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
50,2,7.337587743538596,15,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
61,3,7.577121930876679,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
25,2,9.57644075656207,48,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
26,2,8.064950891749143,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
48,2,8.554488976159934,27,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
29,2,7.682943169878292,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
22,2,6.914730892718563,12,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
37,2,7.506042178518122,36,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
25,2,7.780720886117918,36,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
30,2,9.003685138166775,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
46,1,6.593044534142437,7,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
51,3,7.059617628291383,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
41,1,8.691818541575723,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
40,3,7.589335823170617,36,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
66,3,7.330405211844402,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34,2,8.285261134068948,42,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
51,2,8.470311205516108,11,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
39,1,9.152287440527566,54,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
22,2,8.251142139090751,30,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
44,2,8.68996933536666,24,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
47,2,7.10085190894405,15,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
24,1,7.357556200910353,18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
58,1,7.470224135899966,24,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
52,1,7.747164966520335,10,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
29,3,7.252762418053187,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
27,2,7.166265974133638,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
47,2,9.442404020664952,36,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
30,3,7.718240951959316,18,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
28,2,7.010311867307229,12,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
56,2,6.42648845745769,12,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
54,2,7.25063551189868,12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
33,1,6.680854678790215,12,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
20,2,8.193400231952097,24,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
54,2,7.183870715062453,12,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
58,2,9.676900579444158,54,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
61,2,7.60688453121963,12,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
34,2,7.871692664323645,18,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0
36,2,7.756623334538858,36,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
36,3,8.86177531100083,20,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
41,1,7.292337176173877,24,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0
24,2,7.750614732770409,36,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
24,2,6.837332814685591,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
35,2,7.5595594960077,9,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
26,2,7.801800401908973,12,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
39,3,9.387481868728596,24,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0
39,3,8.77307495131822,18,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
32,2,8.712430973476739,12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
30,2,8.951699168308815,24,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
35,2,7.251344983372214,14,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
31,2,7.278628942320682,6,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0
23,2,5.971261839790462,15,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28,1,8.741935464094144,18,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
25,2,8.96890555068972,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
35,2,7.426549072397305,12,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
47,2,8.182559264068665,48,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
30,3,8.878218658092228,42,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
27,2,7.664815785285735,10,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
23,2,8.361941906144946,33,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
36,3,7.768956044538332,12,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
25,2,7.51479976048867,21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
41,3,8.260492856573185,24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
24,1,7.477604243197589,12,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
63,2,6.660575149839686,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
27,2,7.562161631225652,18,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
30,2,7.659642954564682,12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
40,1,6.55250788703459,12,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
30,2,6.459904454377535,12,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
34,3,7.528331766707247,12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
29,2,8.160232492367689,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
24,2,9.046290859969677,48,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
29,2,8.837390855544697,36,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
27,1,7.903965634032166,15,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
47,2,7.592870287844818,18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
21,2,9.224637676677007,60,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
38,2,7.122866658599083,12,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
27,2,9.061027968789174,27,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
66,1,6.641182169740591,12,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1
35,2,7.911324018963353,15,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
44,1,7.53955882930103,12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
27,0,6.5638555265321274,6,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0
30,3,8.475328987317539,36,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
27,3,8.13622555490846,27,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
22,2,7.808729306744399,18,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
23,2,7.7354333524996886,21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
30,2,8.179199798423086,48,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0
39,2,6.756932389247553,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
51,2,6.525029657843462,12,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
28,2,8.58876938990546,36,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
46,2,7.366445148327599,18,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
42,2,7.204892510204673,6,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
38,2,7.562161631225652,10,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
24,2,8.673855001429615,36,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
29,2,8.956479847999912,24,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
36,3,8.848939995030118,24,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0
20,2,7.156176637480615,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
48,2,7.160845906664299,9,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
45,1,5.82600010738045,12,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
38,2,8.163940954755008,24,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0
34,1,7.5485559791698735,6,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
36,2,7.962763930168115,24,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0
30,2,6.961296045910167,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
36,2,7.140453043101158,15,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
70,3,8.896724917497897,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
36,2,6.812345094177479,36,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
32,2,7.999007213243955,6,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
33,2,7.030857476116121,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
20,2,7.3632795869630385,11,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
25,2,8.287025025165063,24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
31,2,7.5678626054638825,24,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
33,2,6.856461984594587,15,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
26,2,6.637258031284457,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
34,3,7.6324011266014535,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
33,2,7.254177846456518,8,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
26,2,8.135639903354386,21,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
53,3,8.920656296853728,30,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
42,2,7.854381210652365,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
52,2,5.823045895483019,6,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
31,3,7.5822291942764615,12,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
65,2,6.3473892096560105,21,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
28,2,9.166597449028265,36,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
30,3,8.40178233990491,36,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
40,1,7.4067107301776405,21,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
50,2,8.236685322712457,24,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
36,2,6.784457062637643,18,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0
31,2,7.215239978730097,15,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
74,3,8.542665987389269,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
68,0,7.069023426578259,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
20,2,6.513230110912307,12,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
33,2,8.084562415235304,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
54,3,8.431853144249223,24,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0
34,1,8.254268770090183,48,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0
36,2,8.272570608424903,27,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0
29,2,7.653494909661253,6,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
21,2,8.016647877057803,45,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0
34,3,7.313886831633462,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
28,2,7.231287004327616,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
27,2,6.85751406254539,12,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0
36,2,7.9229859587111955,24,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
40,3,8.365672383774996,18,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0
52,2,6.841615476477592,9,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
27,1,7.0630481633881725,12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
26,2,8.540323608805092,27,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
21,2,6.804614520062624,12,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
38,1,7.3098814858247865,12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
38,3,9.270776740780013,30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
43,2,7.5678626054638825,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
26,2,7.261225091971921,12,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
21,1,8.789964651132264,24,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
55,2,7.253470382684528,12,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
33,2,8.03073492409854,9,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
45,1,8.251924713801357,36,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
50,2,8.574140471857987,27,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
66,3,7.553810852008231,30,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
51,2,8.114324709155339,36,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
39,1,6.837332814685591,6,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
31,2,8.04044688130311,18,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
23,2,8.272059622210412,36,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
24,1,8.013343181386672,24,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
64,2,7.218176838403408,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
26,1,6.437751649736401,12,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
23,2,7.090076835776092,12,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
30,2,6.561030665896573,12,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
32,2,7.999007213243955,24,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
30,2,8.446126742982377,15,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
27,2,7.868254265520613,36,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
27,2,9.302098797215724,48,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0
53,3,8.970177815492379,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
22,2,7.298445101508147,9,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
22,2,8.054840221101024,24,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,8.345217926676428,36,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
51,1,7.826842098158293,9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
35,2,7.669028288589683,12,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0
25,1,6.763884908562435,18,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
42,1,7.342131730584722,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
30,3,7.508238774678663,24,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
23,0,9.585689856179723,6,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
61,1,7.925518979786926,21,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1
35,2,7.1631723908466425,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
39,2,7.8328075165248645,30,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
29,2,6.818924065275521,24,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
51,2,7.374629015218945,6,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
